Id,SkillName,Level,Value,Cooldown,Description,ValueSpecial1,ValueSpecial2,ValueSpecial3 
Water2,Shark,1,75,2,Description,1,0,0
Water2,Shark,2,75,2,Description,1.5,0,0
Water2,Shark,3,100,2,Description,1.5,0,0
Water2,Shark,4,100,2,Description,2,0,0
Water2,Shark,5,125,2,Description,2,0,0
Water2,Shark,6,150,2,Description,2,1,0
Water3,IceSpear,1,50,2,Description,1,0.1,0
Water3,IceSpear,2,50,2,Description,1,0.1,0
Water3,IceSpear,3,60,2,Description,1,0.1,0
Water3,IceSpear,4,60,2,Description,1,1,0
Water3,IceSpear,5,70,2,Description,1,1,0
Water3,IceSpear,6,90,2,Description,1,1,0
Earth1,PoisonBullet,1,15,2,Description,2,0,0
Earth1,PoisonBullet,2,20,2,Description,2,0,0
Earth1,PoisonBullet,3,20,2,Description,2,0,0
Earth1,PoisonBullet,4,25,2,Description,2,0,0
Earth1,PoisonBullet,5,25,2,Description,2,0,0
Earth1,PoisonBullet,6,30,2,Description,2,0,0
Earth2,Earthpunch,1,50,2,Description,1,0.1,0
Earth2,Earthpunch,2,20,2,Description,1,0.1,0
Earth2,Earthpunch,3,60,2,Description,1,0.1,0
Earth2,Earthpunch,4,60,2,Description,1,0.1,0
Earth2,Earthpunch,5,70,2,Description,1,0.1,0
Earth2,Earthpunch,6,90,2,Description,1,0.1,0
Earth3,EarthShield,1,50,2,Description,1.5,5,2
Earth3,EarthShield,2,50,2,Description,1.5,5,2
Earth3,EarthShield,3,60,2,Description,1.75,5,2
Earth3,EarthShield,4,60,2,Description,1.75,5,2
Earth3,EarthShield,5,70,2,Description,2,5,2
Earth3,EarthShield,6,90,2,Description,2,5,2
Wind1,Boomerang,1,50,1.5,Description,0.2,0,0
Wind1,Boomerang,2,50,1.25,Description,0.2,0,0
Wind1,Boomerang,3,60,1.25,Description,0.2,0,0
Wind1,Boomerang,4,60,1,Description,0.2,0,0
Wind1,Boomerang,5,70,1,Description,0.2,0,0
Wind1,Boomerang,6,90,0.5,Description,0.2,0,0
Wind2,Twin,1,50,2,Description,0,0,0
Wind2,Twin,2,50,2,Description,0,0,0
Wind2,Twin,3,60,2,Description,0,0,0
Wind2,Twin,4,60,2,Description,0,0,0
Wind2,Twin,5,70,2,Description,0,0,0
Wind2,Twin,6,90,2,Description,0,0,0
Wind3,Cyclone,1,50,2,Description,1.5,2,0
Wind3,Cyclone,2,50,2,Description,1.5,2,0
Wind3,Cyclone,3,60,2,Description,1.75,2,0
Wind3,Cyclone,4,60,2,Description,1.75,2,0
Wind3,Cyclone,5,70,2,Description,2,2,0
Wind3,Cyclone,6,90,2,Description,2,2,0
Wind4,WindField,1,0,2,Description,5,0.5,0
Wind4,WindField,2,0,2,Description,5,0.5,0
Wind4,WindField,3,0,2,Description,6,0.4,0
Wind4,WindField,4,0,2,Description,6,0.4,0
Wind4,WindField,5,0,2,Description,7,0.3,0
Wind4,WindField,6,0,2,Description,8,0.2,0
