Level,AttackDamage,AttackDamageExp,AttackSpeed,AttackSpeedExp,AttackRange,AttackRangExp,CriticalDamage,CriticalDamageExp,CriticalRate,CriticalRateExp,Health,HealthExp
88,88,498922,2.64,356373,1.76,285098,440,440,22,440,440,427647
89,89,530141,2.67,378672,1.78,302938,445,445,22.25,445,445,454407
90,90,584803,2.7,417716,1.8,334173,450,450,22.5,450,450,501259
91,91,637374,2.73,455267,1.82,364213,455,455,22.75,455,455,546320
92,92,692061,2.76,494329,1.84,395463,460,460,23,460,460,593195
93,93,748866,2.79,534904,1.86,427923,465,465,23.25,465,465,641885
94,94,807787,2.82,576991,1.88,461592,470,470,23.5,470,470,692389
95,95,868825,2.85,620589,1.9,496471,475,475,23.75,475,475,744707
96,96,931980,2.88,665700,1.92,532560,480,480,24,480,480,798840
97,97,997252,2.91,712323,1.94,569858,485,485,24.25,485,485,854787
98,98,1064640,2.94,760457,1.96,608366,490,490,24.5,490,490,912549
99,99,1134145,2.97,810104,1.98,648083,495,495,24.75,495,495,972125
100,100,1252770,3,894836,2,715869,500,500,25,500,500,1073803
