Chapter,Level,Wave,IdMonster,EndTime,StepTime,Number,AtkDamage,Hp,Exp,Gold
1,2,13,M2_M6_M8,30,1_1_1,5_2_4,34_34_34,46_46_46,12_12_12,360
1,2,14,M1_M3_M7,30,1_1_1,6_3_3,36_36_36,49_49_49,12_12_12,390
1,2,15,B2,99999999,1_1_1,1_1_1,10_10_10,100_100_100,0_0_0,500
1,3,1,M1_M1_M1,30,1_1_1,6_6_3,10_10_10,10_10_10,2_2_2,10
1,3,2,M1_M2_M3,30,1_1_1,5_5_3,12_12_12,13_13_13,3_3_3,30
1,3,3,M1_M2_M4,30,1_1_1,7_7_2,14_14_14,16_16_16,3_3_3,60
1,3,4,M1_M6_M5,30,1_1_1,8_2_1,16_16_16,19_19_19,5_5_5,90
1,3,5,M1_M7_M4,30,1_1_1,5_5_3,18_18_18,22_22_22,5_5_5,120
1,3,6,M8_M7_M3,30,1_1_1,5_4_3,20_20_20,25_25_25,6_6_6,150
1,3,7,M1_M8_M5,30,1_1_1,5_4_1,22_22_22,28_28_28,8_8_8,180
1,3,8,M1_M8_M2,30,1_1_1,5_3_3,24_24_24,31_31_31,8_8_8,210
1,3,9,M1_M2_M4,30,1_1_1,5_3_3,26_26_26,34_34_34,9_9_9,240
1,3,10,M1_M1_M5,30,1_1_1,5_5_2,28_28_28,37_37_37,9_9_9,270
1,3,11,M7_M8_M3,30,1_1_1,5_5_2,30_30_30,40_40_40,10_10_10,300
1,3,12,M2_M4_M3,30,1_1_1,5_5_3,32_32_32,43_43_43,10_10_10,330
1,3,13,M2_M6_M8,30,1_1_1,5_2_4,34_34_34,46_46_46,12_12_12,360
1,3,14,M1_M3_M7,30,1_1_1,6_3_3,36_36_36,49_49_49,12_12_12,390
1,3,15,B1,99999999,1_1_1,1_1_1,10_10_10,100_100_100,0_0_0,500
2,1,1,M1_M1_M1,30,1_1_1,6_6_3,10_10_10,10_10_10,2_2_2,10
2,1,2,M1_M2_M3,30,1_1_1,5_5_3,12_12_12,13_13_13,3_3_3,30
2,1,3,M1_M2_M4,30,1_1_1,7_7_2,14_14_14,16_16_16,3_3_3,60
2,1,4,M1_M6_M5,30,1_1_1,8_2_1,16_16_16,19_19_19,5_5_5,90
2,1,5,M1_M7_M4,30,1_1_1,5_5_3,18_18_18,22_22_22,5_5_5,120
2,1,6,M8_M7_M3,30,1_1_1,5_4_3,20_20_20,25_25_25,6_6_6,150
2,1,7,M1_M8_M5,30,1_1_1,5_4_1,22_22_22,28_28_28,8_8_8,180
2,1,8,M1_M8_M2,30,1_1_1,5_3_3,24_24_24,31_31_31,8_8_8,210
2,1,9,M1_M2_M4,30,1_1_1,5_3_3,26_26_26,34_34_34,9_9_9,240
2,1,10,M1_M1_M5,30,1_1_1,5_5_2,28_28_28,37_37_37,9_9_9,270
2,1,11,M7_M8_M3,30,1_1_1,5_5_2,30_30_30,40_40_40,10_10_10,300
2,1,12,M2_M4_M3,30,1_1_1,5_5_3,32_32_32,43_43_43,10_10_10,330
2,1,13,M2_M6_M8,30,1_1_1,5_2_4,34_34_34,46_46_46,12_12_12,360
2,1,14,M1_M3_M7,30,1_1_1,6_3_3,36_36_36,49_49_49,12_12_12,390
2,1,15,B1,99999999,1_1_1,1_1_1,10_10_10,100_100_100,0_0_0,500
